Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Lecture,Wed,09:00:00,10:00:00,"Sem1 wk1-Sem1 wk6, Sem1 wk8-Sem1 wk11",INFR08030,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <11-13>,Thu,10:00:00,11:00:00,Sem1 wk3-Sem1 wk5,INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <09>,Thu,10:00:00,11:00:00,Sem1 wk1,INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <10>,Thu,10:00:00,11:00:00,Sem1 wk2,INFR08026,True
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture,Tue,10:00:00,11:00:00,Sem1 wk1-Sem1 wk10,INFR08026,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <13>,Tue,15:00:00,16:00:00,Sem1 wk5,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <15-16>,Tue,15:00:00,16:00:00,Sem1 wk7-Sem1 wk8,INFR08027,False
Informatics 2C - Introduction to Computer Systems,"Informatics 2C - Introduction to Computer Systems - Lecture <09-10, 12, 14, 17-19>",Tue,15:00:00,16:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4, Sem1 wk6, Sem1 wk9-Sem1 wk11",INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <11>,Tue,15:00:00,16:00:00,Sem1 wk3,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <17>,Thu,15:00:00,16:00:00,Sem1 wk9,INFR08027,False
Informatics 2C - Introduction to Computer Systems,"Informatics 2C - Introduction to Computer Systems - Lecture <09-10, 12>",Thu,15:00:00,16:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4",INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <18-19>,Thu,15:00:00,16:00:00,Sem1 wk10-Sem1 wk11,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <16>,Thu,15:00:00,16:00:00,Sem1 wk8,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <14>,Thu,15:00:00,16:00:00,Sem1 wk6,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <13>,Thu,15:00:00,16:00:00,Sem1 wk5,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <11>,Thu,15:00:00,16:00:00,Sem1 wk3,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <15>,Thu,15:00:00,16:00:00,Sem1 wk7,INFR08027,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab (KB)/11,Mon,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab (KB)/12,Mon,16:00:00,17:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
